Coords,Mags F555,Mags F336,Aperture Radius
"(399, 399)",21.65097562524256,19.871119448647185,8
"(195, 401)",25.286928797258177,22.232513662850174,8
"(499, 401)",23.688780483255513,21.674603369184865,8
"(646, 401)",23.004359978893568,20.890473035094494,8
"(633, 402)",23.002347729485763,20.998972594698557,8
"(749, 402)",22.230784444599323,20.11480515144971,8
"(747, 403)",22.5968192918004,20.34931882504842,8
"(129, 404)",22.967041873668308,19.961305038268456,8
"(633, 404)",23.456680246677855,20.998972594698557,8
"(749, 404)",22.744753911155236,20.373255465108002,8
"(149, 405)",22.573704994695014,20.449803690639627,8
"(728, 405)",20.458521458183647,18.885196533975837,8
"(94, 410)",22.626583982056687,20.44153069927524,8
"(96, 410)",22.74060602682951,20.310703996160015,8
"(152, 410)",23.041967394604647,20.383487689754133,8
"(493, 410)",24.680079453783314,23.012458165807168,8
"(525, 411)",22.950673226468005,20.47237279375046,8
"(527, 411)",22.58654183786234,20.410043278724167,8
"(751, 411)",21.80313528205682,19.83824385933962,8
"(94, 412)",22.559107543383128,20.427282307554684,8
"(513, 412)",23.471619584015848,22.001192466577415,8
"(645, 412)",22.53749749810178,20.431704099333594,8
"(525, 413)",23.101150339945207,20.555073359213793,8
"(658, 413)",23.680092451949903,21.3725632006989,8
"(480, 414)",25.549501004586645,22.787692132385864,8
"(642, 414)",22.502207777238496,20.1685139423342,8
"(644, 414)",22.335184235371734,20.218334606286824,8
"(646, 414)",22.34429471050121,20.3988133587929,8
"(252, 416)",22.33196631523638,20.061168923689046,8
"(340, 416)",21.855028298576187,20.801802524672468,8
"(386, 416)",23.71748399082611,20.97085613866149,8
"(480, 416)",24.060891221021087,21.76633870168928,8
"(643, 416)",22.31245415162035,20.258916556417894,8
"(645, 416)",22.242515907863826,20.258916556417894,8
"(647, 416)",22.430567448198346,20.322434620641943,8
"(388, 417)",23.225636146651176,20.97085613866149,8
"(525, 417)",25.267886201758806,20.472053710574507,8
"(684, 417)",22.349748766526282,20.51467299652994,8
"(686, 417)",22.503077182944914,20.832572810524333,8
"(445, 418)",21.54216516473209,19.967163810206046,8
"(683, 419)",22.889275664814747,20.92678672561742,8
"(685, 419)",22.62418228288478,20.832572810524333,8
"(283, 420)",19.47603320561049,17.8280398558093,8
"(179, 421)",23.573195013040852,21.330247229566012,8
"(383, 421)",23.817224474311978,21.781044137453954,8
"(393, 421)",23.448422237496096,21.551017723055097,8
"(423, 421)",22.35109038015532,20.022617943588507,8
"(425, 421)",22.327577480104317,20.191538471553358,8
"(514, 422)",24.201017393480576,20.89138787408171,8
"(516, 422)",23.45216244329076,21.248481908859596,8
"(391, 423)",23.724595180771217,21.83969044587353,8
"(423, 423)",23.01957389228462,20.414355514227545,8
"(698, 426)",19.446508465282648,17.80212484427826,8
"(139, 428)",23.436116349776846,20.791878039652545,8
"(308, 428)",22.653586902925866,20.49417452399232,8
"(115, 429)",21.282192111793144,19.566999117404038,8
"(310, 429)",22.879822756499486,21.386106610395387,8
"(243, 430)",22.31434903976104,20.044696362996355,8
"(312, 430)",23.89218381808586,22.39252911704225,8
"(681, 430)",23.99370940763675,20.908265194015584,8
"(117, 431)",21.494205772797912,19.73694374659771,8
"(243, 432)",22.11757364602638,19.96762817945058,8
"(681, 432)",24.093697537259267,20.908265194015584,8
"(259, 433)",23.430505700569462,21.55002266176794,8
"(404, 433)",25.496811410001243,21.570069454434588,8
"(683, 433)",22.99969240490536,21.043431315550613,8
"(640, 435)",24.80828494364227,21.417867095661627,8
"(682, 435)",25.51745088991833,23.66502161267791,8
"(292, 438)",20.87965674455893,19.09288362216845,8
"(656, 438)",24.355265135060527,21.49752627963821,8
"(658, 438)",23.634105887824816,21.190071677671042,8
"(660, 438)",23.56836649501718,21.47467256825791,8
"(717, 438)",23.767375285865505,22.08323558865012,8
"(662, 439)",23.858932955895817,21.331028953966737,8
"(656, 440)",23.942011090382515,21.190071677671042,8
"(658, 440)",23.571771234612896,21.190071677671042,8
"(660, 440)",23.527318728640928,21.47467256825791,8
"(304, 441)",24.51612351053381,22.357674204442432,8
"(589, 441)",19.443817827302,18.330021748911605,8
"(662, 441)",23.716160497264624,21.871042899566,8
"(655, 442)",24.115161406408824,21.29787890379101,8
"(657, 442)",23.776556701350053,21.29787890379101,8
"(659, 442)",23.609934343302434,21.22189402622068,8
"(304, 443)",24.12649073382819,21.879384019870734,8
"(394, 446)",19.787507714884732,17.48868033804183,8
