Coord,amplitude,xcentroid,ycentroid,sigx,sigy,ellipticity,SNR,Magnitudes,Reason
"(700, 718)",0.0974846540776613,9.856811919350596,8.320138718791833,0.4122978819698564,0.36390625071591476,0.11737055505291105,140.46147518932335,20.797709976953726,Bad sizing
"(725, 718)",0.001569088998157715,8.50000090410136,8.500001426746838,0.2448233337188298,0.24506099962532485,0.0009698234597035338,77.01337220130486,21.101231939965743,Bad sizing
"(35, 719)",0.006665380078732943,9.366139175460788,7.4606605715629,0.624348984821641,2.9999999999999996,0.7918836717261196,10.39739549967337,22.923682093712337,"Not elliptical,Bad sizing"
"(656, 719)",0.0026783575702604744,8.499999868850852,8.499999884608997,0.23215041269760106,0.23214674273186164,1.5808568663566724e-05,141.21851964710447,20.036019662778727,Bad sizing
"(378, 720)",0.001648923017157496,8.499999951506487,8.500000011048554,0.2613540604819674,0.2613539194295142,5.396987250438912e-07,34.00201594428819,22.11307890198927,Bad sizing
"(380, 720)",0.0016406132655070998,8.499995545584584,8.500001099390145,0.26155126486743013,0.2613021626578803,0.000952403000903379,21.81711975704729,22.52866622516138,Bad sizing
"(579, 720)",0.010410882098581728,7.835288008398511,5.339749859143457,0.6633641584369783,1.1119064340780551,0.4033992986226298,11.881700217067076,23.6174805862533,Not elliptical
"(581, 720)",0.010406714396709739,7.839712146022654,3.3277627219342403,0.6929976272032092,1.1556326633638014,0.4003305296113384,94.27482884153412,21.628842030352764,Not elliptical
"(242, 721)",0.002831892415805175,8.499999980612776,8.499999980861924,0.24485313707847908,0.24485312169531812,6.282607256657968e-08,5.012242167759117,23.462649325831883,Bad sizing
"(410, 721)",0.0016878505586603258,8.499748295309594,8.499929312631908,0.26579875241112927,0.263589560531419,0.008311520876866818,86.37027671903674,21.04140346288544,Bad sizing
"(86, 722)",0.0033596452726314175,8.477208071328286,8.572136088950614,0.2805436880630087,0.2788142327935653,0.006164655784574147,165.6260293696748,20.627852326801936,Bad sizing
"(380, 722)",0.0016391043395735435,8.500000003938824,8.499999976001728,0.2613537386805586,0.2613540421801676,1.1612585230080796e-06,16.688818875999967,22.785465128036364,Bad sizing
"(531, 722)",0.004600603867910772,8.499999979864267,8.499999980706052,0.23213872311606892,0.2321390346686086,1.3420945775832749e-06,92.20172410391037,20.21606444016676,Bad sizing
"(19, 723)",0.022621392380933192,7.139784156872628,8.867761177737327,0.20798819247009448,0.2325524550286563,0.10562891092908422,66.79937965082297,21.030564658940207,Bad sizing
"(26, 723)",0.020208744137114112,8.168063857993682,6.999385051154885,0.20005670711062495,0.26084432941008595,0.23304176263649512,208.52681341740663,20.22473376874195,Bad sizing
"(28, 723)",0.002342223562574301,8.500007302760126,8.500001090935871,0.24555453368126645,0.24469441165153366,0.0035027739738222596,116.41399541522438,20.60949006236833,Bad sizing
"(410, 723)",0.0022684392068095375,8.804739974528898,8.805034515883989,0.2017274117532187,0.20180363079125155,0.00037768913142932625,55.12859517824953,21.42635439244082,Bad sizing
"(407, 724)",0.0023095327325512497,8.499999980804327,8.499999980553664,0.24485313223342,0.24485313956972407,2.9962058389898516e-08,8.283822123362448,22.806463350656117,Bad sizing
"(664, 725)",0.07034317983078038,8.501063843323621,9.055489388590264e-08,0.2244827512657594,0.8402624328158943,0.7328420949232837,5.230206608592551,24.178502233331166,"Not elliptical,Bad sizing"
"(153, 726)",0.0025964455710283866,8.499999980737188,8.499999980776948,0.2448531211863907,0.24485312118469166,6.939004926209691e-12,26.96074503813358,22.158942743714462,Bad sizing
