Coord,amplitude,xcentroid,ycentroid,sigx,sigy,ellipticity,SNR,Magnitudes
"(421, 586)",0.015052054462819089,10.978232536727276,9.622270331535441,0.7207801673604838,0.6045652805163138,0.16123485648856306,100.176512464443,22.849216828881588
"(420, 588)",0.015971367395482022,8.959144722174956,10.625078544470206,0.6371418913223976,0.5133547214972171,0.19428509019907392,37.783432035166385,23.693290493533347
"(565, 588)",0.017172948912179593,9.517831015298938,11.189916067308427,0.707219735629556,0.6507167977437882,0.07989445859492272,24.7284696934381,24.290703229142004
"(328, 591)",0.007786537754718631,5.942843285937389,10.586943951362787,1.3104567315689672,0.9739249108583109,0.25680498455507017,28.012432372337148,25.172431876269485
"(637, 591)",0.06295104601103989,8.363217058100592,4.709920978133142,0.8624475756139184,0.7353890837866267,0.14732314800334068,37.812338892450676,23.438788598970426
"(330, 592)",0.0077304708543025945,4.948315586662276,8.588806266875833,1.2870620251453035,0.9471198951944476,0.2641225700932929,14.223101200183402,25.826111165721883
"(435, 592)",0.23053041141948838,9.706193413384355,7.149307193250837,0.768968457338941,0.7071152099627133,0.0804366509261959,380.29769746439956,21.514922928717063
"(441, 592)",0.03404943171496045,7.1846093017656365,6.974934093826294,0.7668415621164073,0.6684114023200276,0.12835788337387732,86.62626586689596,22.481982830582403
"(658, 593)",0.01987413298576375,9.0232121720569,8.84295785271946,0.6251470354033898,0.5352796513026767,0.1437539954783984,67.47834418784443,23.006265486403557
"(281, 594)",1.7447666762239105,9.3971159238245,8.01258995379026,0.8674410296351072,0.6525962421056924,0.24767653383860588,1264.5647952388113,19.299899357887575
"(478, 594)",1.8228402914904716,11.809099591428083,8.771447253905142,0.6904966331363365,0.6967027110280096,0.008907784903715799,1318.3706163017466,19.482314779950713
"(565, 594)",0.013556596217796833,7.241196382671829,6.887281494348986,0.5688311333205727,0.5096629457046511,0.10401713997355433,26.222979475525865,24.05051650522772
"(575, 594)",0.03936941293447945,11.075521378081636,9.295109945054381,1.4921003997073263,0.9457568401943415,0.3661573709250058,91.02995079248629,22.55324899814719
"(77, 595)",0.21048262644034885,4.970170078895407,10.519041369123414,0.7153542404866959,0.7611556654202243,0.06017353218837562,209.51015752763325,22.043505731806967
"(449, 595)",0.1049437649253461,9.045790411864045,8.812693667761039,0.668429433306103,0.6522432745171278,0.024215209538151594,64.01381975966362,23.32948604765562
"(480, 595)",1.821128085489943,10.809063293152565,6.771567687814807,0.6923759110836847,0.6985093102573603,0.008780697814057548,1792.864960506272,19.433066181635787
"(569, 595)",0.040779116955793566,10.081120900425264,6.684250642693529,0.670870921210772,0.6201404976150897,0.07561875465421153,9.538727072811325,24.876916435621673
"(252, 596)",0.25235021994268975,6.709599169335611,6.76374442100017,0.770624525788241,0.7121333601067307,0.0759009916297202,289.08751948108466,21.77404777291941
"(451, 596)",0.10495418101269494,8.046441203081725,6.811829711322517,0.6644916687849203,0.6475626585988973,0.025476632712309488,32.81390151298397,23.971872972167326
"(477, 596)",1.8225344917998425,9.809093256448334,9.771468881448852,0.6908306850848557,0.6970237671879158,0.008885037203316015,1401.7430903727231,19.461121128556222
"(555, 596)",0.17764989140161674,13.145331051523183,4.513967102189852,0.8265997022821384,0.8237316592230802,0.003469687989409942,118.23824796500561,21.916707604769528
"(565, 596)",0.03983531360230748,9.073658476593405,10.700050359602765,0.7220119594198985,0.6955162163558413,0.0366970972133831,29.08037775898939,23.961192473813718
"(575, 596)",0.039435859806783116,9.07797286541209,9.2933325890279,1.488389815316594,0.9420415921045885,0.3670733416674128,100.0961924355937,22.444156208228478
"(479, 597)",1.8212153111107976,8.809063859480078,7.771560001101053,0.6922716113808903,0.6984078073073038,0.0087859784243699,1773.1322256152612,19.426168050689782
"(554, 598)",0.1485150781165784,8.041238755953643,8.020408146153846,0.6743636578561955,0.6188254821735244,0.0823564185816702,145.01841147828424,21.78176797214917
"(566, 598)",0.03961299502641956,7.072147298406604,9.702150952184335,0.7358785109507073,0.7137322951196303,0.030094934831655262,40.382112155859645,23.684244468277086
"(575, 598)",0.04348572440699257,7.238112529259526,9.209432319932391,1.2860721261142367,0.7813567267284744,0.39244719571888953,37.6327054830761,23.25114140819688
"(757, 598)",0.023848228658092184,7.371326535190512,2.7021432110148265,0.8919817804256723,0.8581008572726585,0.03798387354598787,78.48469472792246,23.490193771735086
"(556, 599)",0.14873957362867252,7.039809615759397,6.017660720688081,0.6951715976492541,0.6366544550737655,0.08417654399772123,262.56464031063956,21.47897106204895
"(569, 599)",0.040668728802018675,6.080199051636885,6.686412302580419,0.6754162080500719,0.6278929361189081,0.07036146210995375,6.462379269305639,25.326851704029096
"(616, 599)",0.0359830853548848,12.065004938329004,8.802376728663964,0.6769291578496544,0.6557332881760257,0.031311798919933964,36.026296108545424,24.451380844940182
"(542, 600)",0.0231781527876873,10.116139357633662,7.164187264617696,0.6987575683200756,0.5476030799685274,0.21631892834441513,28.620889028547538,23.731614486319614
"(553, 600)",0.17342600467204658,9.139304013142272,6.5132180701695415,0.8854467330209045,0.8792167373147363,0.007035991521379459,450.56053389358965,21.21635340773515
"(565, 600)",0.018389832898573894,13.984769497194625,8.835961639351424,0.6214345681881611,0.632142307684703,0.016938811666886044,114.88849925855827,22.84552749139968
"(555, 601)",0.17287492526395767,8.138613451796559,4.513202220233806,0.8926936305029992,0.8855968778661982,0.007949818834040778,504.34407579294134,21.212125574648518
"(567, 601)",0.013709641435985014,7.031240498152609,1.4295094123975507,0.6139800002009035,0.6774170470754437,0.09364548345574075,41.22722090199979,23.649689140447727
"(614, 601)",0.03602640509905988,10.068030421655273,10.796905366948975,0.6590666304169273,0.6342330430740319,0.03767993431435834,6.131970759622703,26.179151085007796
"(616, 601)",0.03602311629466183,10.067626898108362,8.797665190893015,0.6612957124446408,0.6369473319906238,0.03681920205411171,3.775280815346678,26.729143645441617
"(540, 602)",0.023723326566803867,8.090516887483435,9.140457629202482,0.7589158520235613,0.6234648550110571,0.17847959909038635,57.76857570735126,23.26989556729592
"(542, 602)",0.023207103302523263,8.114384627922226,7.161837434056341,0.7026675117246249,0.5530415304212426,0.2129399450049153,12.293310534299978,24.6674516663443
"(554, 603)",0.17244850326638073,6.138084514004872,5.513201176610313,0.8982756534879962,0.8904684230688169,0.008691352580762812,561.8749179055937,21.19274289937212
"(566, 603)",0.02936833446874763,14.803599865094087,9.779072350076953,0.5474367067906566,0.5812230621678579,0.05812975701821643,92.06357501806993,23.003378296152803
"(635, 603)",0.07656479288732732,8.141316609765198,11.122281662066118,0.7485573566623784,0.6830341827557038,0.08753260297757981,143.29495911415026,22.24771180533518
"(356, 604)",0.02266135907221019,8.105463813785322,5.933261191149123,0.6536177814869158,0.6389313842752319,0.022469396683599818,65.17582384354351,23.51253991850153
"(625, 604)",0.10263663890912038,11.13962958792445,12.666633180461904,0.7883508974878243,0.8194458546952251,0.03794632315147406,97.47919904749202,22.917445243969063
"(637, 604)",0.07656115233650153,7.147202208791536,9.12661355021867,0.7117392262565215,0.6505616163122234,0.08595509097632448,32.29788291650897,23.516398671261406
"(335, 605)",0.028184703248538865,6.143210791493791,7.906356262532109,0.6328107141497961,0.5436195769416156,0.14094441704896232,11.839041758555956,25.2530133887036
"(635, 605)",0.10210279924851923,10.138659121599634,2.66605117679749,0.7983215389142739,0.831844462592264,0.04029950932596593,326.2266698852173,21.74348418738073
"(627, 607)",0.101660092416752,8.137943686279648,10.665526832541307,0.8062403985543509,0.8417196899143845,0.04215095807446578,213.47752444389607,22.320275996199378
"(629, 607)",0.10334629524565095,8.141114155959665,8.66734352779833,0.7748997415148937,0.8022701110644764,0.03411615261756029,93.99059930694101,22.78481181985849
"(627, 609)",0.10465951065228939,6.144642426514202,10.668154028842851,0.7488370578686212,0.7677768328415193,0.024668333508843454,20.197648435656983,24.153336519809663
"(629, 609)",0.10533792729351324,6.146968208324866,8.668091592975394,0.7346228195481115,0.7483830918640865,0.01838666916124554,12.262425244197061,24.54548874628535
"(636, 609)",0.037584451328715004,9.611767967525996,9.232842542946333,0.5722553034809675,0.5264782333692465,0.07999413868821148,51.95938470598748,22.921005411729638
"(260, 610)",0.07604881376890416,10.4433747799727,10.003837409591693,0.906991494204275,0.6765932860761464,0.25402466241457133,71.54341813254025,23.45240156599504
"(501, 610)",0.030048547629020334,10.981761025818676,10.68393041261231,0.6799639717995211,0.7765882307858,0.12442148252557028,102.81314017206147,22.996602365627275
"(223, 612)",1.4666531614529486,12.32460690613195,10.559194496062913,0.9023563318307939,0.8328696858070823,0.07700577207978343,695.8271565523962,19.603872623056574
"(260, 612)",0.07604726322024068,8.443376211767891,10.003834567499819,0.9071842159320767,0.676704491383394,0.2540605540759754,98.25157996347029,23.110096299391344
"(494, 612)",0.08366483426127877,8.216392968037,8.27901211441537,0.8854130806760864,0.8387961263744498,0.05264994985847815,186.76198965638926,22.465313671782106
